issn,title,qualis,area
0102-6909,REVISTA BRASILEIRA DE HISTÓRIA & CIÊNCIAS SOCIAIS,A1,SOCIOLOGIA
"1982-3134, 0034-7612",REVISTA DE ADMINISTRAÇÃO PÚBLICA,A2,SOCIOLOGIA
"2317-7721, 1809-6077",REVISTA DE DIREITO DA CIDADE,A2,SOCIOLOGIA
1980-5527,REVISTA DE ECONOMIA CONTEMPORÂNEA,A2,SOCIOLOGIA
,REVISTA DE EDUCACIÓN,A2,
1681-5653,REVISTA IBEROAMERICANA DE EDUCACIÓN,A1,SAÚDE COLETIVA
,REVISTA USP,,
"1983-1447, 0102-6933",RGENF,A3,SOCIOLOGIA
1518-8345,RLAE,A1,SAÚDE COLETIVA
"1518-8787, 0034-8910",RSP,A1,SOCIOLOGIA
,Recovered Items,,
,Research in Alternative Animal Feeds,,
2675-1488,Revista,C,SOCIOLOGIA
,Revista Azeites & Olivais,,
"1806-9053, 0102-6909",Revista Brasileira de Ciências Sociais,A1,Ciências Humanas
1413-2478,Revista Brasileira de Educação,A1,Ciências Humanas
"1983-0807, 1806-4892",Revista Brasileira de Gestão de Negócios,A2,PSICOLOGIA
1809-239X,Revista Brasileira de Gestão e Desenvolvimento Regional (G&DR),A2,ZOOTECNIA / RECURSOS PESQUEIROS
"2178-2822, 1677-2504",Revista Brasileira de Inovação,A3,Ciências Humanas
"2526-3943, 2017-2020",Revista Campo da História,C,SOCIOLOGIA
2447-0961,Revista Contemporânea,C,ZOOTECNIA / RECURSOS PESQUEIROS
,Revista DCS,,
"1677-9762, 1982-0666",Revista Gestão e Conhecimento,C,SAÚDE COLETIVA
2965-1263,Revista Internacional de Vitimologia e Justiça Restaurativa,B2,INTERDISCIPLINAR
2965-2634,Revista OWL Journal,A2,LINGUíSTICA E LITERATURA
"1809-4309, 1809-4031","Revista Práxis Educativa,",A1,SOCIOLOGIA
"1518-8787, 0034-8910",Revista de Saúde Pública,A1,Ciências Da Saúde
2674-8460,Revista edUCA – Revista Multidisciplinar da Faculdade Católica Paulista,A1,Multidisciplinar
2236-7527,SOCIOLOGIA & ANTROPOLOGIA,A2,SOCIOLOGIA
"0102-0420, 1982-1999",Sociedade de Arqueologia Brasileira,A1,SOCIOLOGIA
"2675-5459, 2020-2024",South Florida Journal of Development,C,SOCIOLOGIA
"2769-3252, 2021-2024",South Florida Journal of Environmental and Animal Science,B3,"EDUCAÇÃO FÍSICA, FISIOTERAPIA, FONOAUDIOLOGIA E TERAPIA OCUPACIONAL"
2017-2021,South Florida Journal of Health,,
3534-1632,Studies in Education Sciences,,
"2602-7437, 1857-7431",Studies in Engineering amd Exact Sciences,C,SERVIÇO SOCIAL
3534-1632,Studies in Environmental and Animal Sciences,,
"2764-0884, 3534-1632",Studies in Health Sciences,C,SAÚDE COLETIVA
3534-1632,Studies in Multidisciplinary Reviews,,
2764-085X,Studies in Social Sciences Review,C,SERVIÇO SOCIAL
"1980-265X, 0104-0707",TCE,A2,SAÚDE COLETIVA
,Test Journal,,
,revista aposta,,
,revistageo,,
